Notes,State of Residence,State of Residence Code,2023 Metro/Nonmetro,2023 Metro/Nonmetro Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Source of Payment for Delivery,Source of Payment for Delivery Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,Unknown or Not Stated,9,622
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,448
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,25237
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,Unknown or Not Stated,9,52
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,At least one checked,0,131
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,4058
,California,6,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,Unknown or Not Stated,9,120
,California,6,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,At least one checked,0,139
,California,6,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,None checked,1,11085
,California,6,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,Unknown or Not Stated,9,33
,California,6,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,At least one checked,0,609
,California,6,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,29395
,California,6,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,Unknown or Not Stated,9,23
,California,6,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,At least one checked,0,18
,California,6,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,None checked,1,1908
,California,6,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,Unknown or Not Stated,9,42
,California,6,Metro,Metro,Unknown or Not Stated,9,Other,4,At least one checked,0,41
,California,6,Metro,Metro,Unknown or Not Stated,9,Other,4,None checked,1,2461
,California,6,Metro,Metro,Unknown or Not Stated,9,Other,4,Unknown or Not Stated,9,13
,California,6,Metro,Metro,Unknown or Not Stated,9,Unknown or Not Stated,9,None checked,1,388
,California,6,Metro,Metro,Unknown or Not Stated,9,Unknown or Not Stated,9,Unknown or Not Stated,9,49
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,99
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,4900
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,44
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,2154
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,106
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,None checked,1,303
,California,6,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,26
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,113
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,7149
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,Unknown or Not Stated,9,11
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,151
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,7936
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,733
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,Unknown or Not Stated,9,15
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,16
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,690
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,115
,California,6,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,Unknown or Not Stated,9,10
,California,6,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,At least one checked,0,10
,California,6,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,None checked,1,209
,California,6,Nonmetro,Nonmetro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,251
,California,6,Nonmetro,Nonmetro,Unknown or Not Stated,9,Self Pay,3,None checked,1,46
,California,6,Nonmetro,Nonmetro,Unknown or Not Stated,9,Other,4,None checked,1,20
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,556
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,36962
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,Unknown or Not Stated,9,38
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,289
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,20019
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,Unknown or Not Stated,9,30
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,At least one checked,0,55
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,2799
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,Unknown or Not Stated,9,14
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,42
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,3432
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Other,4,Unknown or Not Stated,9,30
,Colorado,8,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,173
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,487
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,29211
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,Unknown or Not Stated,9,32
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,1395
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,89365
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,Unknown or Not Stated,9,92
,Colorado,8,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,68
