"Notes","State of Residence","State of Residence Code","2023 Metro/Nonmetro","2023 Metro/Nonmetro Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Natality on CDC WONDER Online Database. Data are from the Natality Records 2023 through Last Month, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/natality-expanded-provisional.html on Aug 22, 2026 9:30:11 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-provisional.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. 2025 data are provisional and subject to change. 2023-2024 data are final."
"4. Births occurring through 2026 through June 30, 2026 as of July 27, 2026."
"5. 2023 Urbanization and Metro/Nonmetro categories are not available for Natality before year 2023."
"6. Some counties are not classified in 2023 Urbanization scheme."
